Region code,Region name ,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E12000002,North West,E08000002,Bury,20708,21511,22393,23308,23004,24275,26182,25829,26435,25996,25844,25839,26405,27418,28069,27652,29347,29650,32267,31228,32292
E12000002,North West,E08000003,Manchester,17853,18923,19794,20667,20747,22538,22800,23092,22964,22554,24252,24698,24582,24872,24185,25000,26199,26629,28143,27500,29080
E12000002,North West,E08000004,Oldham,17275,18307,19705,19333,20253,21093,21602,21476,21442,22120,22050,22080,22936,22858,24051,24907,25003,25375,26062,27596,27167
E12000002,North West,E08000005,Rochdale,18262,19128,20075,20794,20800,22001,23514,23821,23589,23349,24190,23882,23528,23910,24421,24603,24904,26291,27305,25634,27869
E12000002,North West,E08000006,Salford,18407,18901,19950,20755,21677,21962,22901,23061,23325,22639,23916,23928,23885,24327,25288,26097,26173,26944,29507,27976,31102
E12000002,North West,E08000007,Stockport,20249,20447,22005,22509,23523,25959,24303,25986,25946,25933,26734,28014,28299,27500,28171,29048,31027,32246,34021,30470,34610
E12000002,North West,E08000008,Tameside,18503,18597,19138,20535,20078,20685,22374,22812,22054,21489,23373,22534,22108,23483,23419,24289,24401,25770,25825,27682,29129
E12000002,North West,E08000009,Trafford,21733,21950,24144,25361,25509,27857,28031,27573,28014,28586,30062,30751,29996,30894,34069,32047,34004,33791,35065,34906,37889
E12000002,North West,E08000010,Wigan,18655,19273,19982,20871,21041,22177,22973,23148,23996,24038,23795,25698,25309,26189,27094,26957,27031,26999,29366,30904,29553
E12000002,North West,E08000011,Knowsley,16376,17804,18381,19167,19304,21506,21098,22557,23669,23621,23275,23316,23612,24044,25135,26235,26880,25849,28502,29710,30901
E12000002,North West,E08000012,Liverpool,17593,18116,19230,20455,21117,21961,22935,23249,24030,23704,23949,24844,25813,25682,25953,26017,26706,28800,30850,30059,30590
E12000002,North West,E08000013,St. Helens,17489,18674,19661,20336,21021,21025,23204,23397,24610,25544,24959,24758,24686,26255,26008,25352,26224,28796,28435,29372,32885
E12000002,North West,E08000014,Sefton,19277,19596,20934,22531,21675,23127,24039,23225,23776,23760,25166,25328,25184,24569,25517,26801,28330,28015,29543,30309,31031
E12000002,North West,E08000015,Wirral,19857,20490,22057,23607,23090,23128,23612,24916,26073,25578,25730,26712,27545,28106,28183,27561,27708,29463,28997,29503,32013
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",16789,17344,17642,19280,19371,20169,21472,20236,21065,21171,22235,22789,22112,22691,23580,23127,23689,25461,24820,26248,26409
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,20313,21051,22439,23956,24868,26839,27407,27798,27485,26706,26474,26701,27535,26309,26989,27500,28753,30446,31667,30342,32577
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,18145,19095,19244,20087,20209,20651,21877,23453,22493,23213,24804,24364,23916,23798,26400,23432,25582,27457,28583,28056,29241
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,21639,21665,21892,25620,24780,25195,24936,24681,25517,26255,26327,27365,27535,28427,28091,27246,28464,28468,29204,29352,29803
E12000003,Yorkshire and The Humber,E06000014,York,20272,21146,22489,24077,23218,25184,25531,25951,24637,25437,26428,27555,26125,25622,26096,25956,26688,28555,30054,31007,32533
E12000003,Yorkshire and The Humber,E07000163,Craven,19229,21258,23111,22041,21994,21991,28157,25460,25299,23881,23721,23251,24021,23615,22991,24393,25028,25434,26188,26839,29571
E12000003,Yorkshire and The Humber,E07000164,Hambleton,18495,19184,19728,21829,22674,22533,23260,24591,23913,24514,25590,25275,24508,24962,27784,26578,28404,28205,30579,28486,31465
E12000003,Yorkshire and The Humber,E07000165,Harrogate,19742,20395,23309,24324,22860,24636,24504,26905,26168,26008,24639,26587,26903,27059,29109,30000,31123,33259,32670,32846,33153
E12000003,Yorkshire and The Humber,E07000166,Richmondshire,18684,16742,20054,21177,20294,23073,21822,22244,22245,24982,26712,25650,24842,26656,29372,25188,27392,31087,25027,26827,31979
E12000003,Yorkshire and The Humber,E07000167,Ryedale,15810,16323,16672,17247,18159,18539,20558,22446,20711,19958,19933,21556,22534,22663,23173,22951,24650,26298,26326,26059,26923
E12000003,Yorkshire and The Humber,E07000168,Scarborough,17319,18393,18919,20194,19156,20876,21518,22467,22707,23268,24040,23746,24564,26529,24797,25880,25390,25845,27263,28195,28182
E12000003,Yorkshire and The Humber,E07000169,Selby,20858,20440,21523,22415,24575,24440,24854,26741,27539,27123,26528,26892,27929,27983,28898,29588,31303,32195,34106,33010,32475
E12000003,Yorkshire and The Humber,E08000016,Barnsley,17831,18550,19517,20565,21042,20906,22736,24964,23989,23856,23698,24313,24779,25590,24313,25107,25370,26466,27181,27743,28353
E12000003,Yorkshire and The Humber,E08000017,Doncaster,18079,18827,19508,20079,21276,21617,23210,23105,23465,23706,23948,24287,25210,23943,24616,24897,26980,27388,29008,28733,30457
E12000003,Yorkshire and The Humber,E08000018,Rotherham,19635,19448,20088,21021,21273,22275,22213,23055,23382,23783,23654,24810,23420,25005,24839,25803,25959,26317,28404,26601,28882
E12000003,Yorkshire and The Humber,E08000019,Sheffield,18975,19513,20764,21668,22261,22380,23835,24163,24526,24227,24469,24620,24713,25285,26069,26897,27665,28438,28360,30557,31302
E12000003,Yorkshire and The Humber,E08000032,Bradford,17950,17998,18829,19414,19766,20094,20569,21617,22247,21675,22195,23468,23242,23463,24189,24896,25137,26029,27974,28431,29617
E12000003,Yorkshire and The Humber,E08000033,Calderdale,18701,19947,20419,21121,21989,22674,24125,25986,23804,24327,24980,25279,25530,25448,27751,27089,28101,28514,28030,27682,30241
E12000003,Yorkshire and The Humber,E08000034,Kirklees,19401,20295,20420,22131,23087,23689,24457,23936,24161,24719,25285,25291,25294,24999,25599,26318,27176,27458,28851,27832,31230
